,Old Task #,New Task #,Article #,Question,Acceptable Answers,Acceptable Answer Text,Unnamed: 6,namespace,schema_sha256,topic_uuid,topic_name,topic_options,question_uuid,question_label,question_text,question_type,question_hint_type,question_next_questions,alpha_distance,question_options,answer_count,answer_uuid,answer_label,answer_content,answer_next_questions,highlight,require_highlight,answer_options
1,7860,8466,530712401.0,0.0,0.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",6eb0af40-453e-4095-8f02-6eb244ec671d,0.0,"Read the text immediately surrounding the bolded text, and identify the claim or argument that the bold text is supporting. (Drag the context slider, under the text display pane, to the right for more context.) Did you find the argument or claim the evidence in bold font is meant to support?",RADIO,,,nominal,"{""version"": ""5"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3.0,10131552-ed84-4b72-982b-7b378a38b217,T1.Q0.A1,Yes,T1.Q1,1.0,1.0,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
2,7860,8466,530712401.0,0.0,0.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",6eb0af40-453e-4095-8f02-6eb244ec671d,0.0,"Read the text immediately surrounding the bolded text, and identify the claim or argument that the bold text is supporting. (Drag the context slider, under the text display pane, to the right for more context.) Did you find the argument or claim the evidence in bold font is meant to support?",RADIO,,,nominal,"{""version"": ""5"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3.0,02faf983-7944-44ab-b3cc-74b9beb4f7b9,T1.Q0.A2,Maybe,T1.Q1,1.0,1.0,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
3,7860,8466,530712401.0,0.0,0.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",6eb0af40-453e-4095-8f02-6eb244ec671d,0.0,"Read the text immediately surrounding the bolded text, and identify the claim or argument that the bold text is supporting. (Drag the context slider, under the text display pane, to the right for more context.) Did you find the argument or claim the evidence in bold font is meant to support?",RADIO,,,nominal,"{""version"": ""5"", ""alpha_distance"": ""nominal"", ""require_one_or_more"": true, ""hint_type"": """"}",3.0,7ac7c321-7974-4c44-aef2-782e909f7c0f,T1.Q0.A3,No,,0.0,1.0,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
4,7860,8466,530712401.0,1.0,1.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",10a4a523-7bbf-4839-9c03-c1a1ba51e573,1.0,"Does the bold font present evidence for a relationship between two (or more) features or characteristics of people, objects, or events?",RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3.0,311fb239-a102-470c-b034-81976dbd3adc,T1.Q1.A1,Yes,"T1.Q2, T1.Q6, T1.Q7, T1.Q9",0.0,1.0,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
5,7860,8466,530712401.0,1.0,1.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",10a4a523-7bbf-4839-9c03-c1a1ba51e573,1.0,"Does the bold font present evidence for a relationship between two (or more) features or characteristics of people, objects, or events?",RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3.0,79a32c21-fa85-42b1-abe5-4a0aa3780ea8,T1.Q1.A2,Maybe,"T1.Q2, T1.Q6, T1.Q7, T1.Q9",0.0,1.0,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
6,7860,8466,530712401.0,1.0,1.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",10a4a523-7bbf-4839-9c03-c1a1ba51e573,1.0,"Does the bold font present evidence for a relationship between two (or more) features or characteristics of people, objects, or events?",RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3.0,e931704e-e7f4-4545-8316-31a4b09bffd9,T1.Q1.A3,No,,0.0,1.0,"{""case_numbers"": false, ""highlight"": false, ""version"": ""5"", ""require_highlight"": true}"
7,7860,8466,530712401.0,2.0,2.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",600d6b72-9357-4754-9c78-3dbd2df89372,2.0,Is the evidence for the relationship you’ve identified driven by data (i.e. numbers) as opposed to simply a story or anecdote?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3.0,f06f21dd-8302-4d74-ba3d-a4c296f78ce1,T1.Q2.A1,Yes,T1.Q3,1.0,1.0,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
8,7860,8466,530712401.0,2.0,2.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",600d6b72-9357-4754-9c78-3dbd2df89372,2.0,Is the evidence for the relationship you’ve identified driven by data (i.e. numbers) as opposed to simply a story or anecdote?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3.0,7eb062bd-0fa3-493b-8dd4-7a7952f0f640,T1.Q2.A2,Maybe,T1.Q3,1.0,1.0,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
9,7860,8466,530712401.0,2.0,2.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",600d6b72-9357-4754-9c78-3dbd2df89372,2.0,Is the evidence for the relationship you’ve identified driven by data (i.e. numbers) as opposed to simply a story or anecdote?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",3.0,2eb9118d-e527-42a3-b6a3-ebb774fc5a8b,T1.Q2.A3,"No, it's just a story or anecdote relating two or more entities, characteristics, occurrences, etc.",,1.0,1.0,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
10,7860,8466,530712401.0,3.0,3.01,Yes,,Evidence2022_01_27,97ed360dcb5a98832e3382d04ca83a5e8eb0a895ed9cd03f339633d67e2cc05c,346ede04-d661-464f-9822-38aa487af393,Evidence Specialist,"{""highlight"": true, ""version"": ""5"", ""hint_type"": """"}",ad05aa28-e72f-4c0e-8dc1-00392940f966,3.0,Were the data created by observing some sample group meant to represent some larger population?,RADIO,,,ordinal,"{""version"": ""5"", ""alpha_distance"": ""ordinal"", ""require_one_or_more"": true, ""hint_type"": """"}",4.0,dfa3a1f8-8042-486d-9e9e-3275cdddb54a,T1.Q3.A1,Yes,"T1.Q4, T1.Q5",1.0,1.0,"{""case_numbers"": false, ""highlight"": true, ""version"": ""5"", ""require_highlight"": true}"
